system,commitID,repoName,explanation,guidance
openstack,7b64653931628328bd5d70b0cdea8952e6c709f8,,nrev > 1.0149999856948853 & nrev > 1.8199999928474426 & nrev > 2.0399999618530273,nrev <= 1.0149999856948853 & nrev <= 1.8199999928474426 & nrev <= 2.0399999618530273 
openstack,be23b19905a9e500fa4b14c43b9492f4b43e9828,,app > 1.9800000190734863 & asawr > 0.004999999888241291 & age <= 10.21500015258789,app <= 1.9800000190734863 & asawr <= 0.004999999888241291 & age > 10.21500015258789 
openstack,848ef0043f60795db680afe8f67b633459eaf52c,,age > 7.130000114440918,age <= 7.130000114440918 
openstack,608c67439c8fcfa1a2fddd1087ca1fe998a8f9fd,,ent <= 1.0049999952316284 & ndev > 127.18500137329102 & la > 8.34000015258789,ent > 1.0049999952316284 & ndev <= 127.18500137329102 & la <= 8.34000015258789 
openstack,607acb33be18f0e508329f3c8514061322d294a9,,la > 86.68500137329102 & asawr > 0.004999999888241291 & rtime > 7.954999923706055,la <= 86.68500137329102 & asawr <= 0.004999999888241291 & rtime <= 7.954999923706055 
openstack,2bfc7171c23d0595aa7f8680271778bc58cb28ba,,app > 3.049999952316284 & app > 2.9950000047683716,app <= 3.049999952316284 & app <= 2.9950000047683716 
openstack,9bc29208bda6071a34bcc0da36a396eb8bab4f30,,la <= 317.2850036621094 & la > 14.114999771118164 & rtime > 8.649999618530273,la > 317.2850036621094 & la <= 14.114999771118164 & rtime <= 8.649999618530273 
openstack,10c5c93925abe3d34c4430e0ed852d8358fb2353,,la > 4.755000114440918 & nrev > 2.9950000047683716 & nrev > 3.0149999856948853,la <= 4.755000114440918 & nrev <= 2.9950000047683716 & nrev <= 3.0149999856948853 
openstack,d72848c9afba40d21235a4e95cf8e69549290dca,,age > 1.0099999904632568 & app > 2.0049999952316284 & la <= 66.1349983215332,age <= 1.0099999904632568 & app <= 2.0049999952316284 & la > 66.1349983215332 
openstack,f4b78c7f17e29448ed54b136eeb4ac700b324120,,nrev > 1.0049999952316284 & ent > 0.004999999888241291 & app > 2.0049999952316284,nrev <= 1.0049999952316284 & ent <= 0.004999999888241291 & app <= 2.0049999952316284 
openstack,0eb7e35fbfe5de5f9f00ff1a0cce1d6a61f3a902,,asawr > 0.004999999888241291 & age > 0.5349999964237213 & nrev > 2.180000066757202,asawr <= 0.004999999888241291 & age <= 0.5349999964237213 & nrev <= 2.180000066757202 
openstack,8e575be75c80ea71a6ad8fb73e6ace1ed708938f,,ndev <= 112.54500198364258 & ndev <= 106.7400016784668,ndev > 112.54500198364258 & ndev > 106.7400016784668 
openstack,9928edb42da42af3463d4a989a0797be46198908,,ent <= 0.8949999809265137 & nrev > 5.105000019073486 & la > 16.19499969482422,ent > 0.8949999809265137 & nrev <= 5.105000019073486 & la <= 16.19499969482422 
openstack,1724c5cee71d3b32466dd9d6cabd22a3339546b4,,nrev > 2.024999976158142 & nrev > 1.9900000095367432 & nrev > 1.024999976158142,nrev <= 2.024999976158142 & nrev <= 1.9900000095367432 & nrev <= 1.024999976158142 
openstack,874e272a56d314a6fb1bd98e7ecd7f986f3b3898,,app > 4.025000095367432 & app > 2.965000033378601,app <= 4.025000095367432 & app <= 2.965000033378601 
openstack,fc27c5e3df4b047f2da31e6217e36936b331093f,,nrev > 2.9950000047683716 & nrev > 3.0149999856948853,nrev <= 2.9950000047683716 & nrev <= 3.0149999856948853 
openstack,1a40831f1711bf46c878dd247679bb05d19ffb5a,,asawr > 0.004999999888241291 & app > 1.0049999952316284 & la <= 346.1649932861328,asawr <= 0.004999999888241291 & app <= 1.0049999952316284 & la > 346.1649932861328 
openstack,41e3a94ae18a9219ff4ab10389f3a7799c9b6493,,asawr > 0.014999999664723873 & nrev > 2.0950000286102295,asawr <= 0.014999999664723873 & nrev <= 2.0950000286102295 
openstack,b0306a93645ea6475a2bc045d8fc8bc4bd6f00a5,,nrev > 3.024999976158142 & nrev > 2.9850000143051147,nrev <= 3.024999976158142 & nrev <= 2.9850000143051147 
openstack,1d6235cc3fb3c7806c2c4671f1c5b03022136008,,rtime > 9.005000114440918 & la > 110.08000183105469,rtime <= 9.005000114440918 & la <= 110.08000183105469 
openstack,486e10d3740301b417e2a972ec7c797f562e75be,,rtime > 1.9900000095367432 & nrev > 3.0199999809265137 & nrev > 2.990000009536743,rtime <= 1.9900000095367432 & nrev <= 3.0199999809265137 & nrev <= 2.990000009536743 
